Albany

Date,Time,UTCTime,Sunrise,SunSet
02/05/2021,11:32:03,11:32:03,06:30,17:38
03/05/2021,11:32:03,11:32:03,06:30,17:37
04/05/2021,11:32:03,11:32:03,06:31,17:36
05/05/2021,11:32:03,11:32:03,06:31,17:36
06/05/2021,11:32:03,11:32:03,06:32,17:35
07/05/2021,11:32:03,11:32:03,06:32,17:34
08/05/2021,11:32:03,11:32:03,06:33,17:34
09/05/2021,11:32:03,11:32:03,06:33,17:33
10/05/2021,11:32:03,11:32:03,06:34,17:33
11/05/2021,11:32:03,11:32:03,06:35,17:32
12/05/2021,11:32:03,11:32:03,06:35,17:31
13/05/2021,11:32:03,11:32:03,06:36,17:31
14/05/2021,11:32:03,11:32:03,06:36,17:30
